id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
30527,0,46.0562,-121.394,201508160000Z,1.38881,103691,WF,15.9656,14.2509,12.6057,11.2587,72
30528,0,46.0602,-121.4,201508160000Z,0.84674,58240.4,WF,15.6884,14.3376,12.6785,11.267,72
30529,0,46.0602,-121.394,201508160000Z,0.401207,31530.5,WF,15.7578,14.2226,12.571,11.2524,72
30530,0,46.0602,-121.389,201508160000Z,0.369779,25311.1,WF,15.8937,14.1329,12.4964,11.242,72
30531,0,46.0602,-121.383,201508160000Z,0.00219547,1231.25,WF,16.0757,14.0877,12.4447,11.2359,72
30532,0,46.0642,-121.4,201508160000Z,2.13639,198276,WF,15.9074,14.5519,12.8014,11.2822,72
30533,0,46.0642,-121.394,201508160000Z,0.0983878,8873.7,WF,15.7104,14.1862,12.5451,11.2479,72
30534,0,46.0642,-121.389,201508160000Z,0.0423005,4232.17,WF,15.7738,14.1043,12.4741,11.2384,72
30535,0,46.0642,-121.383,201508160000Z,1.46585,136210,WF,15.8496,13.9917,12.4121,11.2301,72
30536,0,46.0642,-121.377,201508160000Z,2.43982,347884,WF,15.9424,13.9837,12.4001,11.228,72
30537,0,46.0642,-121.371,201508160000Z,0.697841,46553.8,WF,16.132,13.9826,12.4036,11.2291,72
30538,0,46.0642,-121.366,201508160000Z,0.641819,55345.6,WF,16.135,13.9376,12.381,11.2277,72
30539,0,46.0642,-121.36,201508160000Z,1.34326,102058,WF,16.0294,13.8604,12.3467,11.2243,72
30540,0,46.0642,-121.354,201508160000Z,1.18726,76149.4,WF,15.9071,13.7567,12.3029,11.2194,72
30541,0,46.0642,-121.348,201508160000Z,2.23951,179484,WF,15.7311,13.668,12.2709,11.2169,72
30542,0,46.0682,-121.4,201508160000Z,0.847994,76537,WF,16.1092,14.5587,12.7663,11.2766,72
30543,0,46.0682,-121.394,201508160000Z,0.0442958,3677.3,WF,15.6462,14.1601,12.5191,11.2445,72
30544,0,46.0682,-121.389,201508160000Z,0.022327,1817.82,WF,15.6846,14.076,12.4458,11.2342,72
30545,0,46.0682,-121.383,201508160000Z,1.40727,220540,WF,15.7163,13.9581,12.3848,11.2254,72
30546,0,46.0682,-121.377,201508160000Z,1.4529,170363,WF,15.8757,13.8893,12.3741,11.2239,72
30547,0,46.0682,-121.371,201508160000Z,0.0105634,703.673,WF,16.1432,13.966,12.3836,11.2248,72
30548,0,46.0682,-121.366,201508160000Z,0.0673459,5404.31,WF,16.2003,13.9515,12.3724,11.2239,72
