id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
1307,0,46.1002,-121.389,201508120000Z,0.411835,23377.6,WF,14.3095,11.0298,10.2143,10.9996,72
1308,0,46.1002,-121.383,201508120000Z,0.847126,69214.3,WF,14.2086,10.8927,10.1853,10.997,72
1309,0,46.1002,-121.377,201508120000Z,2.34052,278557,WF,14.2096,10.8116,10.1683,10.9951,72
1310,0,46.1002,-121.371,201508120000Z,1.05746,176500,WF,14.3163,10.7132,10.1514,10.9939,72
1311,0,46.1042,-121.394,201508120000Z,1.60637,36435.3,WF,13.741,10.958,10.2264,11.0021,72
1312,0,46.1042,-121.389,201508120000Z,0.858519,50079.5,WF,13.8149,10.8568,10.1984,10.999,72
1313,0,46.1042,-121.383,201508120000Z,0.731614,57335.1,WF,14.0298,10.802,10.1779,10.9969,72
1314,0,46.1042,-121.377,201508120000Z,1.36684,183834,WF,14.0802,10.7176,10.1605,10.9951,72
1315,0,46.1042,-121.371,201508120000Z,3.13206,454474,WF,14.0418,10.658,10.1482,10.9939,72
1316,0,46.1042,-121.366,201508120000Z,2.54146,303835,WF,13.5076,10.7227,10.1697,10.9947,72
1317,0,46.1082,-121.394,201508120000Z,5.04124,51446.3,WF,12.9138,10.8507,10.2203,11.0019,72
1318,0,46.1082,-121.389,201508120000Z,0.0276345,1839.43,WF,13.2679,10.7976,10.2018,10.9994,72
1319,0,46.1082,-121.383,201508120000Z,0.0502536,3339.4,WF,13.6705,10.7095,10.1687,10.9961,72
1320,0,46.1082,-121.377,201508120000Z,0.102996,9863.66,WF,13.9495,10.7092,10.161,10.9951,72
1321,0,46.1082,-121.371,201508120000Z,0.045278,3842.19,WF,14.1068,10.6806,10.1551,10.9947,72
1322,0,46.1082,-121.366,201508120000Z,0.619452,60356.6,WF,14.2136,10.6392,10.1466,10.9938,72
1323,0,46.1082,-121.36,201508120000Z,1.34683,153596,WF,13.5255,10.6338,10.1457,10.993,72
1324,0,46.1122,-121.394,201508120000Z,7.43387,77061.5,WF,12.2627,10.8095,10.2211,11.0025,72
1325,0,46.1122,-121.389,201508120000Z,0.0307299,830.8,WF,12.8762,10.7954,10.2076,11.0006,72
1326,0,46.1122,-121.383,201508120000Z,0.127159,11179,WF,13.3611,10.7063,10.1751,10.9968,72
1327,0,46.1122,-121.377,201508120000Z,0.0110827,871.329,WF,13.6788,10.7004,10.1635,10.996,72
1328,0,46.1122,-121.371,201508120000Z,0.00240387,228.595,WF,13.8877,10.6792,10.156,10.9956,72
1329,0,46.1122,-121.366,201508120000Z,1.73132,238755,WF,13.8734,10.6032,10.1474,10.9941,72
1330,0,46.1122,-121.36,201508120000Z,1.88024,160275,WF,13.9549,10.5148,10.1265,10.9915,72
1331,0,46.1122,-121.354,201508120000Z,0.432486,44606.7,WF,13.598,10.639,10.1423,10.9929,72
1332,0,46.1162,-121.394,201508120000Z,3.90933,206281,WF,11.8035,10.7846,10.2239,11.0034,72
1333,0,46.1162,-121.389,201508120000Z,0.090939,10915.3,WF,12.2581,10.7252,10.2058,11.0009,72
1334,0,46.1162,-121.383,201508120000Z,0.0615093,5923.38,WF,12.7642,10.6814,10.1836,10.9976,72
1335,0,46.1162,-121.377,201508120000Z,0.00709109,529.007,WF,13.2398,10.6894,10.1716,10.9971,72
1336,0,46.1162,-121.371,201508120000Z,0.001,71.554,WF,13.6426,10.7172,10.1709,10.9968,72
1337,0,46.1162,-121.366,201508120000Z,0.0121012,975.54,WF,13.8331,10.6315,10.1545,10.9948,72
