id,event_id,latitude,longitude,type,area,date_time,event_url,sf_event_guid,sf_server,sf_stream_name
SF11C92677720788822830,SF11E542574,26.507,-80.235,RX,149.999999627,201405010000Z,http://playground.dri.edu/smartfire/events/01b167db-13f2-4a17-b35c-ac07f78c938d,01b167db-13f2-4a17-b35c-ac07f78c938d,playground.dri.edu,realtime
SF11C92677820788822830,SF11E542331,26.404,-81.598,RX,99.9999997516,201405010000Z,http://playground.dri.edu/smartfire/events/25ca7412-017e-4336-ab35-a81210eee6ab,25ca7412-017e-4336-ab35-a81210eee6ab,playground.dri.edu,realtime
SF11C92677920788822830,SF11E542189,27.611,-81.934,RX,99.9999997516,201405010000Z,http://playground.dri.edu/smartfire/events/cbd8cf22-d401-4451-90af-78891683cb60,cbd8cf22-d401-4451-90af-78891683cb60,playground.dri.edu,realtime
SF11C92678020788822830,SF11E542389,27.14,-82.238,RX,69.9999998261,201405010000Z,http://playground.dri.edu/smartfire/events/8cf05401-a4ee-410e-948a-08f91733054a,8cf05401-a4ee-410e-948a-08f91733054a,playground.dri.edu,realtime
SF11C92678120788822830,SF11E542208,27.428,-82.207,RX,99.9999997516,201405010000Z,http://playground.dri.edu/smartfire/events/4dd6eae1-6303-4e6f-b20b-1b12cc680896,4dd6eae1-6303-4e6f-b20b-1b12cc680896,playground.dri.edu,realtime
SF11C92678220788822830,SF11E542378,27.201,-82.317,RX,69.9999998261,201405010000Z,http://playground.dri.edu/smartfire/events/e6526745-2b3b-403b-983a-24af91355009,e6526745-2b3b-403b-983a-24af91355009,playground.dri.edu,realtime
SF11C92678320788822830,SF11E541190,27.157,-82.375,RX,99.9999997516,201405010000Z,http://playground.dri.edu/smartfire/events/1eda854f-5fa7-4983-93ea-fffc4d4009dd,1eda854f-5fa7-4983-93ea-fffc4d4009dd,playground.dri.edu,realtime
SF11C92678420788822830,SF11E542261,29.598,-82.85,RX,99.9999997516,201405010000Z,http://playground.dri.edu/smartfire/events/b9b2d120-dea9-4a08-a38f-2791128b3393,b9b2d120-dea9-4a08-a38f-2791128b3393,playground.dri.edu,realtime
SF11C92678520788822830,SF11E542398,34.872,-84.072,RX,121.999999697,201405010000Z,http://playground.dri.edu/smartfire/events/16a8267d-d30f-46d4-85a3-360ad79b49f2,16a8267d-d30f-46d4-85a3-360ad79b49f2,playground.dri.edu,realtime
SF11C92678620788822830,SF11E542175,31.059,-88.959,RX,69.9999998261,201405010000Z,http://playground.dri.edu/smartfire/events/7e28c53e-65f4-4e08-9925-63f4e8b6b21f,7e28c53e-65f4-4e08-9925-63f4e8b6b21f,playground.dri.edu,realtime
