id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
4908,0,46.0842,-121.389,201508130000Z,0.386327,20604.9,WF,10.9674,10.3888,10.3772,11.0033,72
4909,0,46.0842,-121.383,201508130000Z,2.90321,437584,WF,12.1436,10.5653,10.413,11.0067,72
4910,0,46.0842,-121.377,201508130000Z,2.14263,237944,WF,12.9831,10.6233,10.4112,11.0062,72
4911,0,46.0882,-121.389,201508130000Z,3.11121,239460,WF,11.9194,10.7213,10.3825,11.0021,72
4912,0,46.0882,-121.383,201508130000Z,0.551581,46966.2,WF,12.9549,10.6029,10.3549,11,72
4913,0,46.0882,-121.377,201508130000Z,0.22006,31451.3,WF,13.5168,10.6358,10.3601,11.0001,72
4914,0,46.0882,-121.371,201508130000Z,2.96043,232054,WF,13.6131,10.5872,10.3451,10.9985,72
4915,0,46.0882,-121.366,201508130000Z,2.99104,228345,WF,13.7118,10.5598,10.3412,10.9975,72
4916,0,46.0882,-121.36,201508130000Z,0.697354,39948,WF,13.8835,10.5556,10.3292,10.9957,72
4917,0,46.0922,-121.4,201508130000Z,0.289755,19270.1,WF,9.34657,10.225,10.3382,10.9985,72
4918,0,46.0922,-121.394,201508130000Z,3.01004,243069,WF,9.89724,10.38,10.3345,10.9973,72
4919,0,46.0922,-121.389,201508130000Z,1.94289,135201,WF,11.3338,10.5657,10.3382,10.9972,72
4920,0,46.0922,-121.383,201508130000Z,0.051645,3438.49,WF,13.4547,10.8739,10.3602,10.9994,72
4921,0,46.0922,-121.377,201508130000Z,0.0240544,2193.3,WF,13.5493,10.5813,10.306,10.9949,72
4922,0,46.0922,-121.371,201508130000Z,0.00520774,566.764,WF,13.7362,10.5815,10.3045,10.9935,72
4923,0,46.0922,-121.366,201508130000Z,0.0369051,2605.26,WF,13.7471,10.5009,10.2807,10.9904,72
4924,0,46.0922,-121.36,201508130000Z,1.95348,146751,WF,13.8021,10.4671,10.2573,10.9886,72
4925,0,46.0922,-121.354,201508130000Z,0.719666,51012.5,WF,13.8865,10.541,10.2462,10.9873,72
4926,0,46.0962,-121.406,201508130000Z,1.61394,231870,WF,9.00325,10.0603,10.325,10.9983,72
4927,0,46.0962,-121.4,201508130000Z,1.6365,122200,WF,9.23454,10.1667,10.3209,10.9969,72
4928,0,46.0962,-121.394,201508130000Z,1.78683,127621,WF,9.64479,10.2391,10.3022,10.9939,72
4929,0,46.0962,-121.389,201508130000Z,0.0176714,1143.52,WF,10.5993,10.4133,10.2986,10.9935,72
4930,0,46.0962,-121.383,201508130000Z,0.00171244,154.109,WF,12.4415,10.6935,10.3103,10.9938,72
4931,0,46.0962,-121.377,201508130000Z,0.00214683,193.941,WF,14.1396,10.964,10.3307,10.9958,72
4932,0,46.0962,-121.371,201508130000Z,0.001,2.36E-08,WF,13.8842,10.5969,10.257,10.9889,72
4933,0,46.0962,-121.366,201508130000Z,0.00265666,333.447,WF,13.8731,10.5637,10.2421,10.987,72
4934,0,46.0962,-121.36,201508130000Z,0.0461055,3712.79,WF,13.5817,10.5203,10.2275,10.985,72
4935,0,46.0962,-121.354,201508130000Z,2.74096,191134,WF,13.3845,10.5005,10.2115,10.9827,72
4936,0,46.0962,-121.348,201508130000Z,1.30533,96849,WF,13.5428,10.5522,10.1981,10.9816,72
4937,0,46.1002,-121.418,201508130000Z,3.38422,311593,WF,7.87101,9.83233,10.2877,10.9963,72
4938,0,46.1002,-121.412,201508130000Z,4.39485,541275,WF,8.19966,9.89007,10.2928,10.9961,72
4939,0,46.1002,-121.406,201508130000Z,3.52065,407194,WF,8.96285,10.002,10.3078,10.997,72
4940,0,46.1002,-121.4,201508130000Z,0.0762312,6648.84,WF,9.29328,10.1195,10.2968,10.9948,72
4941,0,46.1002,-121.394,201508130000Z,0.0248934,2055.1,WF,9.56429,10.2424,10.2888,10.9933,72
4942,0,46.1002,-121.389,201508130000Z,0.00221518,135.227,WF,10.0506,10.4113,10.2952,10.9934,72
4943,0,46.1002,-121.383,201508130000Z,0.00123131,107.06,WF,11.1452,10.5789,10.286,10.9925,72
4944,0,46.1002,-121.377,201508130000Z,0.001,28.8728,WF,13.0239,10.8486,10.2888,10.9919,72
4945,0,46.1002,-121.371,201508130000Z,0.001,1.61E-19,WF,14.2481,11.0522,10.2981,10.9926,72
4946,0,46.1002,-121.366,201508130000Z,0.001,25.0336,WF,13.7459,10.6161,10.2311,10.9852,72
4947,0,46.1002,-121.36,201508130000Z,0.001,42.7752,WF,13.5156,10.5412,10.2152,10.9832,72
4948,0,46.1002,-121.354,201508130000Z,0.025976,2039.8,WF,13.2866,10.5179,10.2023,10.9817,72
4949,0,46.1002,-121.348,201508130000Z,2.14024,165304,WF,13.2824,10.4697,10.1681,10.9781,72
4950,0,46.1002,-121.343,201508130000Z,0.311027,39328.4,WF,13.5103,10.5434,10.1612,10.9774,72
4951,0,46.1042,-121.418,201508130000Z,6.85677,271929,WF,7.81478,9.82623,10.2766,10.9962,72
4952,0,46.1042,-121.412,201508130000Z,1.22728,166762,WF,8.04081,9.87757,10.2836,10.9962,72
4953,0,46.1042,-121.406,201508130000Z,0.0541191,3282.7,WF,8.79622,10.0048,10.2912,10.996,72
4954,0,46.1042,-121.4,201508130000Z,0.0187942,820.733,WF,9.39742,10.2055,10.3015,10.9962,72
4955,0,46.1042,-121.394,201508130000Z,0.0054895,398.685,WF,9.54702,10.3424,10.3057,10.996,72
4956,0,46.1042,-121.389,201508130000Z,0.001,24.7943,WF,9.79083,10.4372,10.2966,10.994,72
4957,0,46.1042,-121.383,201508130000Z,0.001,24.4461,WF,10.6451,10.5966,10.2957,10.9939,72
4958,0,46.1042,-121.377,201508130000Z,0.001,18.4647,WF,12.3304,10.8213,10.3005,10.9939,72
4959,0,46.1042,-121.371,201508130000Z,0.001,11.5211,WF,13.5379,11.0192,10.2999,10.9931,72
4960,0,46.1042,-121.366,201508130000Z,0.001,10.6583,WF,13.3878,10.67,10.2467,10.9867,72
4961,0,46.1042,-121.354,201508130000Z,0.00221783,158.8,WF,13.4172,10.5742,10.2028,10.9814,72
4962,0,46.1042,-121.348,201508130000Z,0.205149,14410,WF,13.2954,10.4907,10.1702,10.9778,72
4963,0,46.1042,-121.343,201508130000Z,2.30589,172739,WF,13.3248,10.4801,10.1461,10.9754,72
4964,0,46.1042,-121.337,201508130000Z,0.631616,35247.2,WF,13.4422,10.5146,10.1341,10.9741,72
4965,0,46.1042,-121.331,201508130000Z,1.59101,114331,WF,13.3547,10.4794,10.1161,10.9731,72
4966,0,46.1082,-121.423,201508130000Z,4.17075,99548.7,WF,7.84599,9.85062,10.2758,10.997,72
4967,0,46.1082,-121.418,201508130000Z,6.58713,76338.1,WF,7.81918,9.84902,10.2832,10.9976,72
4968,0,46.1082,-121.412,201508130000Z,0.193388,11525.6,WF,7.90376,9.85859,10.2837,10.9968,72
4969,0,46.1082,-121.406,201508130000Z,0.0331797,1603.55,WF,8.57317,9.99172,10.2904,10.9964,72
4970,0,46.1082,-121.4,201508130000Z,0.00227605,79.1572,WF,9.31311,10.1979,10.3049,10.9974,72
4971,0,46.1082,-121.394,201508130000Z,0.001,2.18E-18,WF,9.53042,10.3785,10.3161,10.9974,72
4972,0,46.1082,-121.389,201508130000Z,0.001,12.5092,WF,9.82134,10.5319,10.319,10.9967,72
4973,0,46.1082,-121.383,201508130000Z,0.001,5.50144,WF,10.3161,10.6203,10.2997,10.9941,72
4974,0,46.1082,-121.377,201508130000Z,1.00E-03,6.25268,WF,11.4502,10.7974,10.3073,10.995,72
4975,0,46.1082,-121.371,201508130000Z,1.00E-03,0.497575,WF,13.0807,10.9951,10.3213,10.996,72
4976,0,46.1082,-121.354,201508130000Z,0.001,47.4574,WF,13.3803,10.6275,10.2135,10.9832,72
4977,0,46.1082,-121.348,201508130000Z,0.00158611,114.707,WF,13.401,10.5831,10.193,10.9806,72
4978,0,46.1082,-121.343,201508130000Z,1.27443,85244.1,WF,13.3237,10.5097,10.1667,10.9776,72
4979,0,46.1082,-121.337,201508130000Z,2.28788,151517,WF,13.2165,10.4453,10.1389,10.9748,72
4980,0,46.1082,-121.331,201508130000Z,0.772913,67096.9,WF,13.2899,10.4837,10.1284,10.9739,72
4981,0,46.1122,-121.423,201508130000Z,5.24345,199166,WF,7.8593,9.86882,10.2827,10.9985,72
4982,0,46.1122,-121.418,201508130000Z,0.888595,55449,WF,7.83128,9.8763,10.2898,10.9992,72
4983,0,46.1122,-121.412,201508130000Z,0.170937,11046.3,WF,7.81922,9.85358,10.2887,10.9984,72
4984,0,46.1122,-121.406,201508130000Z,0.0417597,2073.02,WF,8.39313,9.98139,10.3058,10.9989,72
