id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
77,0,46.1242,-121.371,201508110000Z,2.28415,330973,WF,9.7336,9.6421,10.0236,10.9971,72
78,0,46.1242,-121.366,201508110000Z,6.76078,732084,WF,9.76126,9.63019,10.0218,10.9972,72
79,0,46.1282,-121.383,201508110000Z,1.77996,112258,WF,9.96778,9.75756,10.0402,10.9986,72
80,0,46.1282,-121.377,201508110000Z,11.8835,573571,WF,9.87003,9.68712,10.0301,10.9979,72
81,0,46.1282,-121.371,201508110000Z,0.251317,18653.7,WF,9.815,9.65621,10.0243,10.9973,72
82,0,46.1282,-121.366,201508110000Z,3.97239,480578,WF,9.71628,9.61786,10.0198,10.997,72
83,0,46.1282,-121.36,201508110000Z,0.483443,59397.8,WF,9.74994,9.5779,10.0172,10.9967,72
84,0,46.1322,-121.383,201508110000Z,3.7016,445025,WF,10.0266,9.77184,10.0416,10.999,72
85,0,46.1322,-121.377,201508110000Z,0.0645013,5366.97,WF,9.78157,9.56476,10.017,10.9964,72
86,0,46.1322,-121.371,201508110000Z,0.0149434,769.665,WF,9.859,9.62361,10.0223,10.9973,72
87,0,46.1322,-121.366,201508110000Z,4.22052,207990,WF,9.8352,9.63183,10.0236,10.9974,72
88,0,46.1322,-121.36,201508110000Z,0.0553378,4211.52,WF,9.83963,9.60144,10.0207,10.9969,72
89,0,46.1362,-121.383,201508110000Z,2.079,176196,WF,10.1366,9.75645,10.0399,10.9991,72
90,0,46.1362,-121.377,201508110000Z,1.36749,194394,WF,9.96547,9.63954,10.026,10.9977,72
91,0,46.1362,-121.371,201508110000Z,1.10321,113370,WF,9.92579,9.62115,10.0238,10.9974,72
92,0,46.1362,-121.366,201508110000Z,4.11332,323467,WF,9.98424,9.68547,10.0303,10.998,72
93,0,46.1402,-121.377,201508110000Z,2.18504,240501,WF,10.1811,9.77985,10.0426,10.9993,72
94,0,46.1402,-121.371,201508110000Z,1.2671,90377.2,WF,10.2381,9.77919,10.0413,10.9992,72
95,1,46.1202,-121.371,201508110000Z,1.28455,84467.1,WF,10.3488,9.75307,10.0316,10.9974,72
96,1,46.1202,-121.366,201508110000Z,1.72291,118724,WF,10.4444,9.7273,10.0292,10.9973,72
97,1,46.1242,-121.383,201508110000Z,0.0431108,1716.05,WF,10.4982,9.84297,10.0455,10.9982,72
98,1,46.1242,-121.377,201508110000Z,0.0920992,1385.93,WF,10.5633,9.81714,10.0415,10.9981,72
99,1,46.1242,-121.371,201508110000Z,2.64029,235179,WF,10.472,9.75391,10.0314,10.9972,72
100,1,46.1242,-121.366,201508110000Z,4.36845,512056,WF,10.5707,9.75545,10.0309,10.9973,72
101,1,46.1282,-121.383,201508110000Z,7.66194,560668,WF,10.6063,9.86615,10.0486,10.9987,72
102,1,46.1282,-121.377,201508110000Z,6.63612,374564,WF,10.6551,9.81407,10.0398,10.998,72
103,1,46.1282,-121.371,201508110000Z,0.0700341,4707.39,WF,10.7104,9.79696,10.0353,10.9976,72
104,1,46.1282,-121.366,201508110000Z,1.39107,144790,WF,10.681,9.76181,10.0308,10.9973,72
105,1,46.1282,-121.36,201508110000Z,0.727411,67520.4,WF,10.8672,9.74869,10.0306,10.9972,72
106,1,46.1322,-121.383,201508110000Z,3.55184,411903,WF,10.7804,9.90081,10.0523,10.9993,72
107,1,46.1322,-121.377,201508110000Z,0.0596357,3261.27,WF,10.7226,9.71707,10.0283,10.9967,72
108,1,46.1322,-121.371,201508110000Z,0.00768424,395.173,WF,10.8534,9.78478,10.035,10.9977,72
109,1,46.1322,-121.366,201508110000Z,3.78719,288129,WF,10.9829,9.80984,10.0382,10.9979,72
110,1,46.1322,-121.36,201508110000Z,0.12708,21700.2,WF,11.0569,9.79126,10.0362,10.9976,72
111,1,46.1362,-121.383,201508110000Z,2.40487,220323,WF,11.013,9.9148,10.0535,10.9996,72
112,1,46.1362,-121.377,201508110000Z,0.70142,125971,WF,10.9786,9.812,10.0401,10.9982,72
113,1,46.1362,-121.371,201508110000Z,0.976101,112956,WF,11.0915,9.81135,10.0395,10.9981,72
114,1,46.1362,-121.366,201508110000Z,3.81361,336972,WF,11.2151,9.88324,10.0473,10.9988,72
115,1,46.1402,-121.377,201508110000Z,2.34606,278907,WF,11.3324,9.9774,10.0605,11.0002,72
116,1,46.1402,-121.371,201508110000Z,2.05919,208548,WF,11.5872,10.0113,10.0628,11.0004,72
117,2,46.1202,-121.371,201508110000Z,4.73929,314324,WF,10.6351,9.85502,10.0395,10.9974,72
118,2,46.1202,-121.366,201508110000Z,2.40296,149568,WF,10.7355,9.84138,10.0382,10.9973,72
119,2,46.1242,-121.383,201508110000Z,2.3423,269988,WF,10.7093,9.9398,10.0537,10.9983,72
120,2,46.1242,-121.377,201508110000Z,6.29637,429878,WF,10.8738,9.93721,10.0519,10.9982,72
121,2,46.1242,-121.371,201508110000Z,1.27489,110314,WF,10.8756,9.88427,10.0423,10.9973,72
122,2,46.1242,-121.366,201508110000Z,2.22465,265676,WF,11.0349,9.90403,10.0437,10.9977,72
123,2,46.1282,-121.383,201508110000Z,7.77639,603383,WF,10.8856,9.98048,10.0588,10.9988,72
124,2,46.1282,-121.377,201508110000Z,3.29468,290923,WF,11.0854,9.9602,10.0529,10.9984,72
125,2,46.1282,-121.371,201508110000Z,0.025341,1617.26,WF,11.243,9.96527,10.0505,10.9981,72
126,2,46.1282,-121.366,201508110000Z,0.862477,84324.3,WF,11.3217,9.94657,10.0474,10.998,72
127,2,46.1282,-121.36,201508110000Z,1.42486,108743,WF,11.6758,9.97822,10.0518,10.9984,72
128,2,46.1322,-121.383,201508110000Z,4.35812,486595,WF,11.1745,10.0459,10.066,10.9997,72
129,2,46.1322,-121.377,201508110000Z,0.140488,10125.7,WF,11.3132,9.90281,10.0447,10.9974,72
130,2,46.1322,-121.371,201508110000Z,0.00335463,172.313,WF,11.5409,9.9912,10.0542,10.9987,72
131,2,46.1322,-121.366,201508110000Z,2.71363,291885,WF,11.8847,10.0589,10.0619,10.9994,72
132,2,46.1322,-121.36,201508110000Z,0.168325,16473.8,WF,12.1124,10.0715,10.0631,10.9993,72
133,2,46.1362,-121.383,201508110000Z,3.3649,316442,WF,11.5297,10.0996,10.0715,11.0005,72
134,2,46.1362,-121.377,201508110000Z,0.0974528,34423.5,WF,11.7265,10.0381,10.0615,10.9994,72
135,2,46.1362,-121.371,201508110000Z,1.20086,141567,WF,12.0638,10.0812,10.0655,10.9997,72
136,2,46.1362,-121.366,201508110000Z,3.09182,305937,WF,12.3184,10.1769,10.0764,11.0007,72
137,2,46.1402,-121.383,201508110000Z,0.0548878,2789.69,WF,13.0343,10.5185,10.1216,11.0061,72
138,2,46.1402,-121.377,201508110000Z,3.2189,350552,WF,12.3433,10.2605,10.0893,11.0021,72
139,2,46.1402,-121.371,201508110000Z,2.36497,299772,WF,12.706,10.3307,10.0957,11.0028,72
140,3,46.1202,-121.371,201508110000Z,8.17734,501819,WF,10.8312,9.95347,10.0479,10.9974,72
141,3,46.1202,-121.366,201508110000Z,3.58213,257688,WF,10.9075,9.94635,10.0472,10.9974,72
142,3,46.1242,-121.383,201508110000Z,4.72892,306277,WF,10.9268,10.0408,10.0631,10.9983,72
143,3,46.1242,-121.377,201508110000Z,6.28004,528713,WF,11.0976,10.0557,10.0631,10.9984,72
144,3,46.1242,-121.371,201508110000Z,1.29901,80356.2,WF,11.1581,10.0163,10.0545,10.9976,72
145,3,46.1242,-121.366,201508110000Z,2.73801,232045,WF,11.2893,10.0448,10.057,10.998,72
146,3,46.1282,-121.383,201508110000Z,3.76547,468461,WF,11.1035,10.0955,10.07,10.999,72
147,3,46.1282,-121.377,201508110000Z,0.546961,44899.9,WF,11.3551,10.1042,10.067,10.9989,72
148,3,46.1282,-121.371,201508110000Z,0.0130947,793.745,WF,11.5081,10.1233,10.0661,10.9988,72
149,3,46.1282,-121.366,201508110000Z,0.710825,58306.9,WF,11.6225,10.1184,10.0643,10.9987,72
150,3,46.1282,-121.36,201508110000Z,1.65796,141125,WF,11.9186,10.1713,10.0712,10.9994,72
151,3,46.1322,-121.383,201508110000Z,5.18492,521225,WF,11.3503,10.177,10.0795,11.0001,72
152,3,46.1322,-121.377,201508110000Z,0.0626047,4955.74,WF,11.5514,10.0707,10.0608,10.998,72
153,3,46.1322,-121.371,201508110000Z,0.00193271,99.4901,WF,11.7903,10.1742,10.0726,10.9996,72
154,3,46.1322,-121.366,201508110000Z,2.60429,268762,WF,12.0861,10.2607,10.083,11.0005,72
155,3,46.1322,-121.36,201508110000Z,0.214399,10748.6,WF,12.451,10.3128,10.0883,11.0009,72
156,3,46.1362,-121.383,201508110000Z,3.25782,379737,WF,11.6527,10.2526,10.0877,11.0012,72
157,3,46.1362,-121.377,201508110000Z,0.00380122,1938.15,WF,11.875,10.2206,10.0803,11.0004,72
158,3,46.1362,-121.371,201508110000Z,0.312089,76405.4,WF,12.1928,10.2896,10.0874,11.001,72
159,3,46.1362,-121.366,201508110000Z,3.1538,362318,WF,12.6312,10.4268,10.1035,11.0025,72
160,3,46.1402,-121.383,201508110000Z,0.441178,47405.1,WF,13.1543,10.7761,10.1525,11.0083,72
161,3,46.1402,-121.377,201508110000Z,2.70938,266361,WF,12.3883,10.4635,10.1122,11.0035,72
162,3,46.1402,-121.371,201508110000Z,2.86616,366945,WF,12.8706,10.5774,10.1238,11.0047,72
163,3,46.1402,-121.366,201508110000Z,0.0455655,3078.25,WF,13.0316,10.5529,10.1194,11.0041,72
164,4,46.1202,-121.383,201508110000Z,1.82371,132830,WF,11.3297,10.1402,10.0696,10.9985,72
165,4,46.1202,-121.377,201508110000Z,1.72422,104029,WF,11.2972,10.13,10.0674,10.9983,72
166,4,46.1202,-121.371,201508110000Z,10.7649,733816,WF,11.3238,10.1061,10.0629,10.998,72
167,4,46.1202,-121.366,201508110000Z,8.56329,725969,WF,11.2464,10.0856,10.0607,10.9978,72
168,4,46.1242,-121.383,201508110000Z,11.6741,753764,WF,11.4449,10.1977,10.0792,10.999,72
169,4,46.1242,-121.377,201508110000Z,14.3201,1.46E+06,WF,11.5097,10.2127,10.0794,10.9991,72
170,4,46.1242,-121.371,201508110000Z,1.77998,131412,WF,11.6765,10.1967,10.0729,10.9985,72
171,4,46.1242,-121.366,201508110000Z,5.05797,479851,WF,11.6285,10.2109,10.0742,10.9988,72
172,4,46.1242,-121.36,201508110000Z,0.001,0.255109,WF,11.6736,10.203,10.0713,10.9986,72
173,4,46.1282,-121.383,201508110000Z,4.83966,256197,WF,11.6754,10.2706,10.0885,10.9999,72
174,4,46.1282,-121.377,201508110000Z,0.284144,15840,WF,11.9099,10.3,10.0877,11,72
175,4,46.1282,-121.371,201508110000Z,0.00690411,416.784,WF,11.8792,10.3064,10.0858,10.9998,72
176,4,46.1282,-121.366,201508110000Z,0.93424,71004.1,WF,11.8696,10.2957,10.0834,10.9997,72
177,4,46.1282,-121.36,201508110000Z,5.20629,410533,WF,12.0292,10.3536,10.0912,11.0005,72
178,4,46.1322,-121.389,201508110000Z,0.36462,25015,WF,12.0375,10.4204,10.1087,11.0022,72
179,4,46.1322,-121.383,201508110000Z,4.7433,537484,WF,11.8108,10.3525,10.0988,11.0012,72
180,4,46.1322,-121.377,201508110000Z,0.0466693,3344.59,WF,11.9435,10.2656,10.0812,10.9991,72
181,4,46.1322,-121.371,201508110000Z,0.00114461,58.3233,WF,12.0661,10.3652,10.0936,11.0008,72
182,4,46.1322,-121.366,201508110000Z,2.92264,265097,WF,12.1558,10.4419,10.1037,11.0017,72
183,4,46.1322,-121.36,201508110000Z,0.800805,57309.3,WF,12.4665,10.5127,10.1115,11.0024,72
184,4,46.1362,-121.383,201508110000Z,3.18005,410274,WF,12.0824,10.4446,10.1094,11.0024,72
185,4,46.1362,-121.377,201508110000Z,0.00261569,191.458,WF,12.1698,10.4174,10.1022,11.0016,72
186,4,46.1362,-121.371,201508110000Z,0.001,3122.84,WF,12.2949,10.4823,10.1095,11.0023,72
187,4,46.1362,-121.366,201508110000Z,3.29391,348033,WF,12.6312,10.6208,10.127,11.004,72
188,4,46.1402,-121.383,201508110000Z,0.596596,52258.4,WF,13.3312,11.0264,10.1849,11.0107,72
189,4,46.1402,-121.377,201508110000Z,2.66348,228472,WF,12.4705,10.6535,10.1355,11.005,72
190,4,46.1402,-121.371,201508110000Z,2.65816,348553,WF,12.8706,10.7706,10.1485,11.0063,72
191,4,46.1402,-121.366,201508110000Z,0.332538,40842.9,WF,13.0316,10.7591,10.1452,11.0058,72
192,5,46.1162,-121.371,201508110000Z,1.37313,100956,WF,11.6258,10.2249,10.0741,10.9989,72
