id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
1,18,46.1282,-121.377,201508100000Z,0.0701197,1298.36,WF,9.28833,9.27836,10.005,11,72
2,18,46.1282,-121.371,201508100000Z,1.32989,24707.3,WF,9.29318,9.27119,10.0032,11,72
3,18,46.1322,-121.377,201508100000Z,36.3115,3.29E+06,WF,8.83879,9.23105,10.0034,10.9996,72
4,18,46.1322,-121.371,201508100000Z,41.0124,2.48E+06,WF,9.07635,9.24184,10.0026,10.9999,72
5,18,46.1322,-121.366,201508100000Z,0.0316684,2475.73,WF,9.20917,9.24343,10.003,11,72
6,18,46.1362,-121.377,201508100000Z,32.143,3.07E+06,WF,8.86973,9.2307,10.003,10.9996,72
7,18,46.1362,-121.371,201508100000Z,34.8945,3.14E+06,WF,8.96421,9.22218,10.0029,10.9998,72
8,19,46.1282,-121.377,201508100000Z,0.595928,42592.2,WF,10.874,9.50684,10.0215,11.0007,72
9,19,46.1282,-121.371,201508100000Z,5.04401,65541.8,WF,10.6953,9.47977,10.0177,11.0005,72
10,19,46.1322,-121.383,201508100000Z,0.998012,110723,WF,11.2647,9.57691,10.0292,11.0012,72
11,19,46.1322,-121.377,201508100000Z,4.57967,671205,WF,10.2448,9.39597,10.0128,10.9997,72
12,19,46.1322,-121.371,201508100000Z,5.45365,164740,WF,10.625,9.4508,10.0168,11.0004,72
13,19,46.1322,-121.366,201508100000Z,0.474218,15716.1,WF,10.7395,9.46917,10.019,11.0006,72
14,19,46.1362,-121.383,201508100000Z,0.0487076,1253.08,WF,10.9889,9.51782,10.0242,11.0007,72
15,19,46.1362,-121.377,201508100000Z,3.71329,526920,WF,10.5424,9.43211,10.0163,11.0002,72
16,19,46.1362,-121.371,201508100000Z,3.4797,434820,WF,10.5539,9.42984,10.0167,11.0002,72
17,19,46.1362,-121.366,201508100000Z,0.41436,32081.4,WF,10.9085,9.50269,10.0228,11.0007,72
18,19,46.1402,-121.371,201508100000Z,0.00690251,193.1,WF,11.1401,9.5481,10.0268,11.001,72
19,20,46.1282,-121.377,201508100000Z,1.86337,100024,WF,11.4146,9.70969,10.0378,11.0014,72
20,20,46.1282,-121.371,201508100000Z,11.7911,184756,WF,11.2786,9.67772,10.0331,11.0012,72
21,20,46.1322,-121.383,201508100000Z,2.78661,291020,WF,11.7561,9.79251,10.0474,11.0021,72
22,20,46.1322,-121.377,201508100000Z,3.07144,269099,WF,10.9183,9.57275,10.0253,11.0002,72
23,20,46.1322,-121.371,201508100000Z,1.75027,52797.5,WF,11.1334,9.62917,10.0299,11.0009,72
24,20,46.1322,-121.366,201508100000Z,3.58676,88445.7,WF,11.1818,9.64353,10.0319,11.0011,72
25,20,46.1362,-121.383,201508100000Z,0.566263,45408.1,WF,11.6863,9.75307,10.0439,11.0018,72
26,20,46.1362,-121.377,201508100000Z,3.77106,412232,WF,11.2469,9.63637,10.032,11.0009,72
27,20,46.1362,-121.371,201508100000Z,2.77272,196686,WF,11.1518,9.61567,10.0305,11.0008,72
28,20,46.1362,-121.366,201508100000Z,1.11403,70771.8,WF,11.3215,9.68108,10.0364,11.0013,72
29,20,46.1402,-121.371,201508100000Z,0.285539,26811.3,WF,11.6084,9.75289,10.0436,11.0018,72
30,21,46.1242,-121.371,201508100000Z,0.0123416,348.436,WF,10.628,9.67703,10.0336,11.0006,72
31,21,46.1282,-121.377,201508100000Z,4.15467,271981,WF,10.696,9.71105,10.037,11.0008,72
32,21,46.1282,-121.371,201508100000Z,19.0871,360797,WF,10.6161,9.67904,10.0323,11.0005,72
33,21,46.1282,-121.366,201508100000Z,4.59829,104597,WF,10.5107,9.64761,10.0293,11.0003,72
34,21,46.1322,-121.383,201508100000Z,3.85071,370558,WF,10.8851,9.79361,10.0469,11.0016,72
35,21,46.1322,-121.377,201508100000Z,2.81679,228849,WF,10.3925,9.57265,10.0241,10.9994,72
36,21,46.1322,-121.371,201508100000Z,0.255035,16033,WF,10.5125,9.62919,10.0289,11.0001,72
37,21,46.1322,-121.366,201508100000Z,6.68397,227709,WF,10.5299,9.64315,10.0309,11.0003,72
38,21,46.1362,-121.383,201508100000Z,1.51707,139758,WF,10.9351,9.75717,10.0437,11.0013,72
39,21,46.1362,-121.377,201508100000Z,3.01735,388955,WF,10.6133,9.63765,10.0312,11.0002,72
