mapID,VEG,1HR,10HR,100HR,1kHR,10kHR,10k+HR,DUFF,GRASS,SHRUB,CANOPY,LITTER,ROT
157,Loblolly pine - Shortleaf pine - Mixed hardwoods forest,1,1.30,1.30,0.70,0.70,0.70,1,0.08,2.89,12.17,0.03,0.90
161,Loblolly pine - Slash pine forest,1.2,0.84,0.25,0.5,0,0,1,0.09,2.00,3.17,0.02,1
162,Loblolly pine - Slash pine forest with commercial thin,0.5,4.3,3.70,2.7,0,0,1,0.09,0.75,2.69,0.02,1.6
164,Sand pine forest,1.50,1.50,0.3,1,0.5,0,1,0.01,1.15,3.34,0.00,0.1
165,Longleaf pine / Three-awned grass - Pitcher plant grassland,0.1,0.16,0.14,0.2,0.1,0,0.5,0.28,1.18,0.43,0.07,0
166,Longleaf pine / Three-awned grass - Pitcher plant savanna,0.2,0.5,0.3,0.5,0.2,0,1.6,0.17,6.39,5.10,0.04,0
168,Little gallberry - Fetterbush shrubland,0,0,0,0,0,0,45.5,0.08,5.37,0.08,0.02,0
170,Pond pine / Little gallberry - Fetterbush shrubland,0,0,0,0,0,0,10.5,0.08,5.99,0.85,0.02,0
173,Live oak / Sea oats savanna,0.2,0.2,0.5,0,0,0,0,0.14,0.36,1.47,0.06,0
174,Live oak - Sabal palm forest,0.5,0.5,0.5,1.50,1,0,0.75,0.14,3.75,10.38,0.06,0
175,Smooth cordgrass - Black needlerush grassland,0,0,0,0,0,0,12.5,2.60,0,0,1.40,0
176,Smooth Cordgrass - Black needlerush grassland with common reed invasion,0,0,0,0,0,0,19,2.60,0,0,1.40,0
180,Red maple - Oak - Hickory - Sweetgum forest,0.4,0.70,1.40,1.80,1.80,0,2,0.19,0.60,12.15,0.06,1.20
181,Pond pine forest,1,1.50,1.50,2,1,0.5,5,0,4.75,5.55,0,1
182,Longleaf pine - Slash pine / Saw palmetto - Gallberry forest,0.1,0.4,0.3,0.5,0,0,4,0.12,7.87,2.52,0.08,0
184,Longleaf pine / Turkey oak forest,0.1,0.5,1,0.8,0,0,1.25,0.12,2.10,16.25,0.08,0.2
185,Longleaf pine / Turkey oak forest with prescribed fire,0.1,0.2,0.2,0.1,0,0,0.4,0.12,0.24,4.65,0.08,0
186,Turkey oak - Bluejack oak forest,0.2,0.5,0.14,0.3,0.5,0,0.75,0.06,0.58,12.87,0.04,0.2
187,Longleaf pine / Yaupon forest,0.8,4,6.20,1.2,1.50,0,1.25,0.12,0.98,4.33,0.08,0.2
