mapID,VEG,1HR,10HR,100HR,1kHR,10kHR,10k+HR,DUFF,GRASS,SHRUB,CANOPY,LITTER,ROT
305,Red alder forest,0.2,0.8,1.30,0.5,0.5,0,1,0.09,1.15,13.43,0.01,5.00
306,Knobcone pine forest,0.2,1,1,1,6.00,2,1.4,0.10,0.59,3.39,0.01,17
307,Palo verde ahrubland,0,0,0,0,0,0,0,0.02,0.19,0,0.18,0
308,Low sagebrush shrubland,0.06,0.02,0,0,0,0,1,0.05,1.25,0,0.01,0
309,Blackbrush shrubland,0,0,0,0,0,0,0,0.08,0.28,0,0.02,0
310,Greasewood shrubland,0.1,0.2,0,0,0,0,0,0.07,0.75,0,0.03,0
311,Salt-desert shrubland,0.1,0.2,0,0,0,0,1,0.07,0.38,0,0.03,0
312,Gambel oak woodland or shrubland,0.2,0.2,1,0.5,0,0,0.3,0.09,0.64,8.79,0.02,0
313,Mountain mahogany woodland or shrubland,0.2,0.2,1,0.5,0,0,0.3,0.08,0.27,1.42,0.02,0
314,Limber pine - Bristlecone pine forest,0.1,0.4,1.7,4.4,13.6,0,0.2,0.12,0.43,7.45,0.08,1.5
315,Interior alpine forb grassland,0,0,0,0,0,0,0.5,1.28,0,0,0.07,0
316,Northern California coastal shrubland,0.1,0.1,0,0,0,0,0,0.27,7.81,0,0.03,0
317,Rocky Mountain maple forest,0.2,0.8,1.30,0.5,0.5,0,0.5,0.09,0.20,0.79,0.01,5.00
318,Generic wetland grassland,0,0,0,0,0,0,1,1.19,0,0,0.06,0
319,Avalanche and landslide chute forest,0.3,0.4,0.90,1.1,0,0,0.3,0,0,2.33,0,0.1
320,Western larch forest,0.70,2.10,4.4,0.70,3.50,0,1.7,0.05,0.33,8.91,0.06,9.70
321,Western hemlock - Alaska cedar forest,0.5,1,2,2,3.00,1,3,0.13,0.48,8.98,0.03,6.00
322,Sitka spruce - Western hemlock forest,1.30,1,1,2,4,5,5,0.13,1.03,17.97,0.07,11
323,Trembling aspen / Sagebrush boreal woodland,0.2,0.4,0.2,0.1,0,0,0.1,0.18,1.22,2.38,0.02,0
324,White spruce woodland,0.2,0.5,0.5,0.5,0,0,9,0,0.38,3.10,0,0.4
325,White spruce - Mountain hemlock forest,0.2,0.2,0.4,0.2,5,0,2,0.08,0.79,9.99,0.02,5.5
326,Willow - Birch shrubland,0.2,0.5,0.5,0,0,0,0.4,0.04,1.38,0,0.01,0
327,Sedge - shrub bog,0,0,0,0,0,0,10,0.8,0.15,0,0.20,0
328,Conifer peatland savanna,0.1,0.2,0.2,0,0,0,10,0.8,0.26,0.17,0.20,0
329,Mountain heath tundra shrubland,0,0,0,0,0,0,0.25,0.05,2.35,0,0.00,0
330,American dunegrass grassland,0,0,0,0,0,0,0.25,0.45,0,0,0.05,0
331,Sitka alder - Salmonberry shrubland,0.2,0.5,0.5,0,0,0,1.5,0.08,3.20,0,0.02,0
332,Balsam poplar - Paper birch forest,0.2,0.3,1.50,2,1,0,2,0.02,0.4,20.52,0.01,1.5
333,Dryas tundra shrubland,0,0,0,0,0,0,0,0.05,0.67,0,0.00,0
334,Cassiope dwarf tundra shrubland,0,0,0,0,0,0,0.25,0.10,2.12,0,0.01,0
335,Sweetgale shrubland,0,0,0,0,0,0,6,0.10,0.80,0,0.01,0
336,Alaskan Tidal marsh grassland,0,0,0,0,0,0,1,0.65,0,0,0.35,0
337,Alaskan freshwater marsh grassland,0,0,0,0,0,0,1,0.65,0,0,0.35,0
338,Alaskan wet meadow grassland,0,0,0,0,0,0,0.5,0.76,0.34,0,0.04,0
339,Alaskan herbaceous wet meadow grassland,0,0,0,0,0,0,0.5,0.76,0.00,0,0.04,0
401,Recently logged timberland - Shrubland cover,0.2,1,2,2,0,0,1.2,0.15,2.41,0.19,0.05,5.80
402,Recently logged timberland - Woodland cover,0.90,3.60,6.20,10.6,0,0,1.2,0.08,1.11,0.40,0.03,5.80
403,Ouachita montane oak forest,0.3,0.70,1,0,0,0,0.2,0.07,0.40,2.59,0.07,0
404,Southern and Central Appalachian cove forest,1,1,2,3.00,2,0.5,1,0.26,1.29,39.02,0.04,2.80
405,Central and Southern Appalachian montane oak forest,0.3,0.70,1,0,0,0,0.2,0.07,2.23,6.29,0.07,0
406,West Gulf Coastal Plain mesic hardwood forest,0.5,0.5,1,3.00,1,0.5,0.75,0.06,0.57,21.52,0.02,0
407,Southern Coastal Plain dry upland hardwood forest,0.6,1.2,1.6,1.50,1.80,0,1,0.06,0.40,18.20,0.024,0.8
408,Eastern Great Plains tallgrass aspen parkland,0.2,0.5,1,1.50,0,0,0.5,0.13,0.92,6.08,0.01,1
409,Appalachian shale barren woodland and grassland,0.1,0.2,0.2,0.1,0,0,0.5,0.16,0.18,2.54,0.04,0
